global_x,global_y,map_member,local_x,local_y,symbol,intent,provisional_code
50,0,51,18,0,T,BLOCKED_TREE_WALL,1
51,0,51,19,0,T,BLOCKED_TREE_WALL,1
52,0,51,20,0,T,BLOCKED_TREE_WALL,1
53,0,51,21,0,T,BLOCKED_TREE_WALL,1
54,0,51,22,0,T,BLOCKED_TREE_WALL,1
55,0,51,23,0,T,BLOCKED_TREE_WALL,1
56,0,51,24,0,T,BLOCKED_TREE_WALL,1
57,0,51,25,0,T,BLOCKED_TREE_WALL,1
58,0,51,26,0,T,BLOCKED_TREE_WALL,1
59,0,51,27,0,T,BLOCKED_TREE_WALL,1
60,0,51,28,0,T,BLOCKED_TREE_WALL,1
61,0,51,29,0,T,BLOCKED_TREE_WALL,1
62,0,51,30,0,T,BLOCKED_TREE_WALL,1
63,0,51,31,0,T,BLOCKED_TREE_WALL,1
0,1,50,0,1,T,BLOCKED_TREE_WALL,1
1,1,50,1,1,T,BLOCKED_TREE_WALL,1
2,1,50,2,1,T,BLOCKED_TREE_WALL,1
3,1,50,3,1,T,BLOCKED_TREE_WALL,1
4,1,50,4,1,T,BLOCKED_TREE_WALL,1
5,1,50,5,1,T,BLOCKED_TREE_WALL,1
6,1,50,6,1,T,BLOCKED_TREE_WALL,1
7,1,50,7,1,T,BLOCKED_TREE_WALL,1
8,1,50,8,1,T,BLOCKED_TREE_WALL,1
9,1,50,9,1,T,BLOCKED_TREE_WALL,1
10,1,50,10,1,T,BLOCKED_TREE_WALL,1
11,1,50,11,1,T,BLOCKED_TREE_WALL,1
12,1,50,12,1,T,BLOCKED_TREE_WALL,1
13,1,50,13,1,T,BLOCKED_TREE_WALL,1
14,1,50,14,1,T,BLOCKED_TREE_WALL,1
15,1,50,15,1,T,BLOCKED_TREE_WALL,1
16,1,50,16,1,T,BLOCKED_TREE_WALL,1
17,1,50,17,1,T,BLOCKED_TREE_WALL,1
18,1,50,18,1,T,BLOCKED_TREE_WALL,1
19,1,50,19,1,T,BLOCKED_TREE_WALL,1
20,1,50,20,1,T,BLOCKED_TREE_WALL,1
21,1,50,21,1,T,BLOCKED_TREE_WALL,1
22,1,50,22,1,T,BLOCKED_TREE_WALL,1
23,1,50,23,1,T,BLOCKED_TREE_WALL,1
24,1,50,24,1,T,BLOCKED_TREE_WALL,1
25,1,50,25,1,T,BLOCKED_TREE_WALL,1
26,1,50,26,1,T,BLOCKED_TREE_WALL,1
27,1,50,27,1,T,BLOCKED_TREE_WALL,1
28,1,50,28,1,T,BLOCKED_TREE_WALL,1
29,1,50,29,1,T,BLOCKED_TREE_WALL,1
30,1,50,30,1,T,BLOCKED_TREE_WALL,1
31,1,50,31,1,T,BLOCKED_TREE_WALL,1
32,1,51,0,1,T,BLOCKED_TREE_WALL,1
33,1,51,1,1,T,BLOCKED_TREE_WALL,1
34,1,51,2,1,T,BLOCKED_TREE_WALL,1
35,1,51,3,1,T,BLOCKED_TREE_WALL,1
36,1,51,4,1,T,BLOCKED_TREE_WALL,1
37,1,51,5,1,T,BLOCKED_TREE_WALL,1
38,1,51,6,1,T,BLOCKED_TREE_WALL,1
39,1,51,7,1,T,BLOCKED_TREE_WALL,1
40,1,51,8,1,T,BLOCKED_TREE_WALL,1
41,1,51,9,1,T,BLOCKED_TREE_WALL,1
42,1,51,10,1,T,BLOCKED_TREE_WALL,1
43,1,51,11,1,T,BLOCKED_TREE_WALL,1
44,1,51,12,1,T,BLOCKED_TREE_WALL,1
45,1,51,13,1,T,BLOCKED_TREE_WALL,1
46,1,51,14,1,T,BLOCKED_TREE_WALL,1
47,1,51,15,1,T,BLOCKED_TREE_WALL,1
48,1,51,16,1,T,BLOCKED_TREE_WALL,1
49,1,51,17,1,T,BLOCKED_TREE_WALL,1
50,1,51,18,1,T,BLOCKED_TREE_WALL,1
51,1,51,19,1,T,BLOCKED_TREE_WALL,1
52,1,51,20,1,T,BLOCKED_TREE_WALL,1
53,1,51,21,1,T,BLOCKED_TREE_WALL,1
54,1,51,22,1,T,BLOCKED_TREE_WALL,1
55,1,51,23,1,T,BLOCKED_TREE_WALL,1
56,1,51,24,1,T,BLOCKED_TREE_WALL,1
57,1,51,25,1,T,BLOCKED_TREE_WALL,1
58,1,51,26,1,T,BLOCKED_TREE_WALL,1
59,1,51,27,1,T,BLOCKED_TREE_WALL,1
60,1,51,28,1,T,BLOCKED_TREE_WALL,1
61,1,51,29,1,T,BLOCKED_TREE_WALL,1
62,1,51,30,1,T,BLOCKED_TREE_WALL,1
63,1,51,31,1,T,BLOCKED_TREE_WALL,1
0,2,50,0,2,T,BLOCKED_TREE_WALL,1
1,2,50,1,2,T,BLOCKED_TREE_WALL,1
2,2,50,2,2,G,WALKABLE_SHORT_GRASS,0
3,2,50,3,2,G,WALKABLE_SHORT_GRASS,0
4,2,50,4,2,G,WALKABLE_SHORT_GRASS,0
5,2,50,5,2,G,WALKABLE_SHORT_GRASS,0
6,2,50,6,2,G,WALKABLE_SHORT_GRASS,0
7,2,50,7,2,G,WALKABLE_SHORT_GRASS,0
8,2,50,8,2,G,WALKABLE_SHORT_GRASS,0
9,2,50,9,2,G,WALKABLE_SHORT_GRASS,0
10,2,50,10,2,G,WALKABLE_SHORT_GRASS,0
11,2,50,11,2,G,WALKABLE_SHORT_GRASS,0
12,2,50,12,2,G,WALKABLE_SHORT_GRASS,0
13,2,50,13,2,G,WALKABLE_SHORT_GRASS,0
14,2,50,14,2,G,WALKABLE_SHORT_GRASS,0
15,2,50,15,2,G,WALKABLE_SHORT_GRASS,0
16,2,50,16,2,G,WALKABLE_SHORT_GRASS,0
17,2,50,17,2,G,WALKABLE_SHORT_GRASS,0
18,2,50,18,2,G,WALKABLE_SHORT_GRASS,0
19,2,50,19,2,G,WALKABLE_SHORT_GRASS,0
20,2,50,20,2,G,WALKABLE_SHORT_GRASS,0
21,2,50,21,2,G,WALKABLE_SHORT_GRASS,0
22,2,50,22,2,G,WALKABLE_SHORT_GRASS,0
23,2,50,23,2,G,WALKABLE_SHORT_GRASS,0
24,2,50,24,2,G,WALKABLE_SHORT_GRASS,0
25,2,50,25,2,G,WALKABLE_SHORT_GRASS,0
26,2,50,26,2,G,WALKABLE_SHORT_GRASS,0
27,2,50,27,2,G,WALKABLE_SHORT_GRASS,0
28,2,50,28,2,G,WALKABLE_SHORT_GRASS,0
29,2,50,29,2,G,WALKABLE_SHORT_GRASS,0
30,2,50,30,2,G,WALKABLE_SHORT_GRASS,0
31,2,50,31,2,G,WALKABLE_SHORT_GRASS,0
32,2,51,0,2,G,WALKABLE_SHORT_GRASS,0
33,2,51,1,2,G,WALKABLE_SHORT_GRASS,0
34,2,51,2,2,G,WALKABLE_SHORT_GRASS,0
35,2,51,3,2,G,WALKABLE_SHORT_GRASS,0
36,2,51,4,2,G,WALKABLE_SHORT_GRASS,0
37,2,51,5,2,G,WALKABLE_SHORT_GRASS,0
38,2,51,6,2,G,WALKABLE_SHORT_GRASS,0
39,2,51,7,2,G,WALKABLE_SHORT_GRASS,0
40,2,51,8,2,G,WALKABLE_SHORT_GRASS,0
41,2,51,9,2,G,WALKABLE_SHORT_GRASS,0
42,2,51,10,2,G,WALKABLE_SHORT_GRASS,0
43,2,51,11,2,G,WALKABLE_SHORT_GRASS,0
44,2,51,12,2,G,WALKABLE_SHORT_GRASS,0
45,2,51,13,2,G,WALKABLE_SHORT_GRASS,0
46,2,51,14,2,G,WALKABLE_SHORT_GRASS,0
47,2,51,15,2,G,WALKABLE_SHORT_GRASS,0
48,2,51,16,2,G,WALKABLE_SHORT_GRASS,0
49,2,51,17,2,G,WALKABLE_SHORT_GRASS,0
50,2,51,18,2,G,WALKABLE_SHORT_GRASS,0
51,2,51,19,2,G,WALKABLE_SHORT_GRASS,0
52,2,51,20,2,G,WALKABLE_SHORT_GRASS,0
53,2,51,21,2,G,WALKABLE_SHORT_GRASS,0
54,2,51,22,2,G,WALKABLE_SHORT_GRASS,0
55,2,51,23,2,G,WALKABLE_SHORT_GRASS,0
56,2,51,24,2,G,WALKABLE_SHORT_GRASS,0
57,2,51,25,2,G,WALKABLE_SHORT_GRASS,0
58,2,51,26,2,G,WALKABLE_SHORT_GRASS,0
59,2,51,27,2,G,WALKABLE_SHORT_GRASS,0
60,2,51,28,2,G,WALKABLE_SHORT_GRASS,0
61,2,51,29,2,G,WALKABLE_SHORT_GRASS,0
62,2,51,30,2,T,BLOCKED_TREE_WALL,1
63,2,51,31,2,T,BLOCKED_TREE_WALL,1
0,3,50,0,3,T,BLOCKED_TREE_WALL,1
1,3,50,1,3,T,BLOCKED_TREE_WALL,1
2,3,50,2,3,G,WALKABLE_SHORT_GRASS,0
3,3,50,3,3,G,WALKABLE_SHORT_GRASS,0
4,3,50,4,3,G,WALKABLE_SHORT_GRASS,0
5,3,50,5,3,G,WALKABLE_SHORT_GRASS,0
6,3,50,6,3,G,WALKABLE_SHORT_GRASS,0
7,3,50,7,3,G,WALKABLE_SHORT_GRASS,0
8,3,50,8,3,G,WALKABLE_SHORT_GRASS,0
9,3,50,9,3,G,WALKABLE_SHORT_GRASS,0
10,3,50,10,3,G,WALKABLE_SHORT_GRASS,0
11,3,50,11,3,G,WALKABLE_SHORT_GRASS,0
12,3,50,12,3,G,WALKABLE_SHORT_GRASS,0
13,3,50,13,3,G,WALKABLE_SHORT_GRASS,0
14,3,50,14,3,G,WALKABLE_SHORT_GRASS,0
15,3,50,15,3,G,WALKABLE_SHORT_GRASS,0
16,3,50,16,3,G,WALKABLE_SHORT_GRASS,0
17,3,50,17,3,G,WALKABLE_SHORT_GRASS,0
18,3,50,18,3,G,WALKABLE_SHORT_GRASS,0
19,3,50,19,3,G,WALKABLE_SHORT_GRASS,0
20,3,50,20,3,G,WALKABLE_SHORT_GRASS,0
21,3,50,21,3,G,WALKABLE_SHORT_GRASS,0
22,3,50,22,3,G,WALKABLE_SHORT_GRASS,0
23,3,50,23,3,G,WALKABLE_SHORT_GRASS,0
24,3,50,24,3,G,WALKABLE_SHORT_GRASS,0
25,3,50,25,3,G,WALKABLE_SHORT_GRASS,0
26,3,50,26,3,G,WALKABLE_SHORT_GRASS,0
27,3,50,27,3,G,WALKABLE_SHORT_GRASS,0
28,3,50,28,3,G,WALKABLE_SHORT_GRASS,0
29,3,50,29,3,G,WALKABLE_SHORT_GRASS,0
30,3,50,30,3,G,WALKABLE_SHORT_GRASS,0
31,3,50,31,3,G,WALKABLE_SHORT_GRASS,0
32,3,51,0,3,G,WALKABLE_SHORT_GRASS,0
33,3,51,1,3,G,WALKABLE_SHORT_GRASS,0
34,3,51,2,3,G,WALKABLE_SHORT_GRASS,0
35,3,51,3,3,G,WALKABLE_SHORT_GRASS,0
36,3,51,4,3,G,WALKABLE_SHORT_GRASS,0
37,3,51,5,3,G,WALKABLE_SHORT_GRASS,0
38,3,51,6,3,G,WALKABLE_SHORT_GRASS,0
39,3,51,7,3,G,WALKABLE_SHORT_GRASS,0
40,3,51,8,3,G,WALKABLE_SHORT_GRASS,0
41,3,51,9,3,G,WALKABLE_SHORT_GRASS,0
42,3,51,10,3,G,WALKABLE_SHORT_GRASS,0
43,3,51,11,3,G,WALKABLE_SHORT_GRASS,0
44,3,51,12,3,G,WALKABLE_SHORT_GRASS,0
45,3,51,13,3,G,WALKABLE_SHORT_GRASS,0
46,3,51,14,3,G,WALKABLE_SHORT_GRASS,0
47,3,51,15,3,G,WALKABLE_SHORT_GRASS,0
48,3,51,16,3,G,WALKABLE_SHORT_GRASS,0
49,3,51,17,3,G,WALKABLE_SHORT_GRASS,0
50,3,51,18,3,G,WALKABLE_SHORT_GRASS,0
51,3,51,19,3,G,WALKABLE_SHORT_GRASS,0
52,3,51,20,3,G,WALKABLE_SHORT_GRASS,0
53,3,51,21,3,G,WALKABLE_SHORT_GRASS,0
54,3,51,22,3,G,WALKABLE_SHORT_GRASS,0
55,3,51,23,3,G,WALKABLE_SHORT_GRASS,0
56,3,51,24,3,G,WALKABLE_SHORT_GRASS,0
57,3,51,25,3,G,WALKABLE_SHORT_GRASS,0
58,3,51,26,3,G,WALKABLE_SHORT_GRASS,0
59,3,51,27,3,G,WALKABLE_SHORT_GRASS,0
60,3,51,28,3,G,WALKABLE_SHORT_GRASS,0
61,3,51,29,3,G,WALKABLE_SHORT_GRASS,0
62,3,51,30,3,T,BLOCKED_TREE_WALL,1
63,3,51,31,3,T,BLOCKED_TREE_WALL,1
0,4,50,0,4,T,BLOCKED_TREE_WALL,1
1,4,50,1,4,T,BLOCKED_TREE_WALL,1
2,4,50,2,4,G,WALKABLE_SHORT_GRASS,0
3,4,50,3,4,G,WALKABLE_SHORT_GRASS,0
4,4,50,4,4,G,WALKABLE_SHORT_GRASS,0
5,4,50,5,4,F,WALKABLE_FLOWER_ENCOUNTER,3
6,4,50,6,4,F,WALKABLE_FLOWER_ENCOUNTER,3
7,4,50,7,4,F,WALKABLE_FLOWER_ENCOUNTER,3
8,4,50,8,4,F,WALKABLE_FLOWER_ENCOUNTER,3
9,4,50,9,4,F,WALKABLE_FLOWER_ENCOUNTER,3
10,4,50,10,4,F,WALKABLE_FLOWER_ENCOUNTER,3
11,4,50,11,4,F,WALKABLE_FLOWER_ENCOUNTER,3
12,4,50,12,4,F,WALKABLE_FLOWER_ENCOUNTER,3
13,4,50,13,4,F,WALKABLE_FLOWER_ENCOUNTER,3
14,4,50,14,4,F,WALKABLE_FLOWER_ENCOUNTER,3
15,4,50,15,4,F,WALKABLE_FLOWER_ENCOUNTER,3
16,4,50,16,4,F,WALKABLE_FLOWER_ENCOUNTER,3
17,4,50,17,4,F,WALKABLE_FLOWER_ENCOUNTER,3
18,4,50,18,4,F,WALKABLE_FLOWER_ENCOUNTER,3
19,4,50,19,4,F,WALKABLE_FLOWER_ENCOUNTER,3
20,4,50,20,4,F,WALKABLE_FLOWER_ENCOUNTER,3
21,4,50,21,4,F,WALKABLE_FLOWER_ENCOUNTER,3
22,4,50,22,4,F,WALKABLE_FLOWER_ENCOUNTER,3
23,4,50,23,4,G,WALKABLE_SHORT_GRASS,0
24,4,50,24,4,G,WALKABLE_SHORT_GRASS,0
25,4,50,25,4,G,WALKABLE_SHORT_GRASS,0
26,4,50,26,4,G,WALKABLE_SHORT_GRASS,0
27,4,50,27,4,G,WALKABLE_SHORT_GRASS,0
28,4,50,28,4,G,WALKABLE_SHORT_GRASS,0
29,4,50,29,4,G,WALKABLE_SHORT_GRASS,0
30,4,50,30,4,G,WALKABLE_SHORT_GRASS,0
31,4,50,31,4,G,WALKABLE_SHORT_GRASS,0
32,4,51,0,4,G,WALKABLE_SHORT_GRASS,0
33,4,51,1,4,G,WALKABLE_SHORT_GRASS,0
34,4,51,2,4,G,WALKABLE_SHORT_GRASS,0
35,4,51,3,4,G,WALKABLE_SHORT_GRASS,0
36,4,51,4,4,G,WALKABLE_SHORT_GRASS,0
37,4,51,5,4,G,WALKABLE_SHORT_GRASS,0
38,4,51,6,4,G,WALKABLE_SHORT_GRASS,0
39,4,51,7,4,G,WALKABLE_SHORT_GRASS,0
40,4,51,8,4,G,WALKABLE_SHORT_GRASS,0
41,4,51,9,4,F,WALKABLE_FLOWER_ENCOUNTER,3
42,4,51,10,4,F,WALKABLE_FLOWER_ENCOUNTER,3
43,4,51,11,4,F,WALKABLE_FLOWER_ENCOUNTER,3
44,4,51,12,4,F,WALKABLE_FLOWER_ENCOUNTER,3
45,4,51,13,4,F,WALKABLE_FLOWER_ENCOUNTER,3
46,4,51,14,4,F,WALKABLE_FLOWER_ENCOUNTER,3
47,4,51,15,4,F,WALKABLE_FLOWER_ENCOUNTER,3
48,4,51,16,4,F,WALKABLE_FLOWER_ENCOUNTER,3
49,4,51,17,4,F,WALKABLE_FLOWER_ENCOUNTER,3
50,4,51,18,4,F,WALKABLE_FLOWER_ENCOUNTER,3
51,4,51,19,4,F,WALKABLE_FLOWER_ENCOUNTER,3
52,4,51,20,4,F,WALKABLE_FLOWER_ENCOUNTER,3
53,4,51,21,4,F,WALKABLE_FLOWER_ENCOUNTER,3
54,4,51,22,4,F,WALKABLE_FLOWER_ENCOUNTER,3
55,4,51,23,4,F,WALKABLE_FLOWER_ENCOUNTER,3
56,4,51,24,4,F,WALKABLE_FLOWER_ENCOUNTER,3
57,4,51,25,4,F,WALKABLE_FLOWER_ENCOUNTER,3
58,4,51,26,4,F,WALKABLE_FLOWER_ENCOUNTER,3
59,4,51,27,4,G,WALKABLE_SHORT_GRASS,0
60,4,51,28,4,G,WALKABLE_SHORT_GRASS,0
61,4,51,29,4,G,WALKABLE_SHORT_GRASS,0
62,4,51,30,4,T,BLOCKED_TREE_WALL,1
63,4,51,31,4,T,BLOCKED_TREE_WALL,1
0,5,50,0,5,T,BLOCKED_TREE_WALL,1
1,5,50,1,5,T,BLOCKED_TREE_WALL,1
2,5,50,2,5,G,WALKABLE_SHORT_GRASS,0
3,5,50,3,5,G,WALKABLE_SHORT_GRASS,0
4,5,50,4,5,G,WALKABLE_SHORT_GRASS,0
5,5,50,5,5,F,WALKABLE_FLOWER_ENCOUNTER,3
6,5,50,6,5,F,WALKABLE_FLOWER_ENCOUNTER,3
7,5,50,7,5,F,WALKABLE_FLOWER_ENCOUNTER,3
8,5,50,8,5,F,WALKABLE_FLOWER_ENCOUNTER,3
9,5,50,9,5,F,WALKABLE_FLOWER_ENCOUNTER,3
10,5,50,10,5,F,WALKABLE_FLOWER_ENCOUNTER,3
11,5,50,11,5,F,WALKABLE_FLOWER_ENCOUNTER,3
12,5,50,12,5,F,WALKABLE_FLOWER_ENCOUNTER,3
13,5,50,13,5,F,WALKABLE_FLOWER_ENCOUNTER,3
14,5,50,14,5,F,WALKABLE_FLOWER_ENCOUNTER,3
15,5,50,15,5,F,WALKABLE_FLOWER_ENCOUNTER,3
16,5,50,16,5,F,WALKABLE_FLOWER_ENCOUNTER,3
17,5,50,17,5,F,WALKABLE_FLOWER_ENCOUNTER,3
18,5,50,18,5,F,WALKABLE_FLOWER_ENCOUNTER,3
19,5,50,19,5,F,WALKABLE_FLOWER_ENCOUNTER,3
20,5,50,20,5,F,WALKABLE_FLOWER_ENCOUNTER,3
21,5,50,21,5,F,WALKABLE_FLOWER_ENCOUNTER,3
22,5,50,22,5,F,WALKABLE_FLOWER_ENCOUNTER,3
23,5,50,23,5,G,WALKABLE_SHORT_GRASS,0
24,5,50,24,5,G,WALKABLE_SHORT_GRASS,0
25,5,50,25,5,G,WALKABLE_SHORT_GRASS,0
26,5,50,26,5,G,WALKABLE_SHORT_GRASS,0
27,5,50,27,5,G,WALKABLE_SHORT_GRASS,0
28,5,50,28,5,G,WALKABLE_SHORT_GRASS,0
29,5,50,29,5,G,WALKABLE_SHORT_GRASS,0
30,5,50,30,5,G,WALKABLE_SHORT_GRASS,0
31,5,50,31,5,G,WALKABLE_SHORT_GRASS,0
32,5,51,0,5,G,WALKABLE_SHORT_GRASS,0
33,5,51,1,5,G,WALKABLE_SHORT_GRASS,0
34,5,51,2,5,G,WALKABLE_SHORT_GRASS,0
35,5,51,3,5,G,WALKABLE_SHORT_GRASS,0
36,5,51,4,5,G,WALKABLE_SHORT_GRASS,0
37,5,51,5,5,G,WALKABLE_SHORT_GRASS,0
38,5,51,6,5,G,WALKABLE_SHORT_GRASS,0
39,5,51,7,5,G,WALKABLE_SHORT_GRASS,0
40,5,51,8,5,G,WALKABLE_SHORT_GRASS,0
41,5,51,9,5,F,WALKABLE_FLOWER_ENCOUNTER,3
42,5,51,10,5,F,WALKABLE_FLOWER_ENCOUNTER,3
43,5,51,11,5,F,WALKABLE_FLOWER_ENCOUNTER,3
44,5,51,12,5,F,WALKABLE_FLOWER_ENCOUNTER,3
45,5,51,13,5,F,WALKABLE_FLOWER_ENCOUNTER,3
46,5,51,14,5,F,WALKABLE_FLOWER_ENCOUNTER,3
47,5,51,15,5,F,WALKABLE_FLOWER_ENCOUNTER,3
48,5,51,16,5,F,WALKABLE_FLOWER_ENCOUNTER,3
49,5,51,17,5,F,WALKABLE_FLOWER_ENCOUNTER,3
50,5,51,18,5,F,WALKABLE_FLOWER_ENCOUNTER,3
51,5,51,19,5,F,WALKABLE_FLOWER_ENCOUNTER,3
52,5,51,20,5,F,WALKABLE_FLOWER_ENCOUNTER,3
53,5,51,21,5,F,WALKABLE_FLOWER_ENCOUNTER,3
54,5,51,22,5,F,WALKABLE_FLOWER_ENCOUNTER,3
55,5,51,23,5,F,WALKABLE_FLOWER_ENCOUNTER,3
56,5,51,24,5,F,WALKABLE_FLOWER_ENCOUNTER,3
57,5,51,25,5,F,WALKABLE_FLOWER_ENCOUNTER,3
58,5,51,26,5,F,WALKABLE_FLOWER_ENCOUNTER,3
59,5,51,27,5,G,WALKABLE_SHORT_GRASS,0
60,5,51,28,5,G,WALKABLE_SHORT_GRASS,0
61,5,51,29,5,G,WALKABLE_SHORT_GRASS,0
62,5,51,30,5,T,BLOCKED_TREE_WALL,1
63,5,51,31,5,T,BLOCKED_TREE_WALL,1
0,6,50,0,6,T,BLOCKED_TREE_WALL,1
1,6,50,1,6,T,BLOCKED_TREE_WALL,1
2,6,50,2,6,G,WALKABLE_SHORT_GRASS,0
3,6,50,3,6,G,WALKABLE_SHORT_GRASS,0
4,6,50,4,6,G,WALKABLE_SHORT_GRASS,0
5,6,50,5,6,F,WALKABLE_FLOWER_ENCOUNTER,3
6,6,50,6,6,F,WALKABLE_FLOWER_ENCOUNTER,3
7,6,50,7,6,F,WALKABLE_FLOWER_ENCOUNTER,3
8,6,50,8,6,F,WALKABLE_FLOWER_ENCOUNTER,3
9,6,50,9,6,F,WALKABLE_FLOWER_ENCOUNTER,3
10,6,50,10,6,F,WALKABLE_FLOWER_ENCOUNTER,3
11,6,50,11,6,F,WALKABLE_FLOWER_ENCOUNTER,3
12,6,50,12,6,F,WALKABLE_FLOWER_ENCOUNTER,3
13,6,50,13,6,F,WALKABLE_FLOWER_ENCOUNTER,3
14,6,50,14,6,F,WALKABLE_FLOWER_ENCOUNTER,3
15,6,50,15,6,F,WALKABLE_FLOWER_ENCOUNTER,3
16,6,50,16,6,F,WALKABLE_FLOWER_ENCOUNTER,3
17,6,50,17,6,F,WALKABLE_FLOWER_ENCOUNTER,3
18,6,50,18,6,F,WALKABLE_FLOWER_ENCOUNTER,3
19,6,50,19,6,F,WALKABLE_FLOWER_ENCOUNTER,3
20,6,50,20,6,F,WALKABLE_FLOWER_ENCOUNTER,3
21,6,50,21,6,F,WALKABLE_FLOWER_ENCOUNTER,3
22,6,50,22,6,F,WALKABLE_FLOWER_ENCOUNTER,3
23,6,50,23,6,G,WALKABLE_SHORT_GRASS,0
24,6,50,24,6,G,WALKABLE_SHORT_GRASS,0
25,6,50,25,6,G,WALKABLE_SHORT_GRASS,0
26,6,50,26,6,G,WALKABLE_SHORT_GRASS,0
27,6,50,27,6,G,WALKABLE_SHORT_GRASS,0
28,6,50,28,6,G,WALKABLE_SHORT_GRASS,0
29,6,50,29,6,G,WALKABLE_SHORT_GRASS,0
30,6,50,30,6,G,WALKABLE_SHORT_GRASS,0
31,6,50,31,6,G,WALKABLE_SHORT_GRASS,0
32,6,51,0,6,G,WALKABLE_SHORT_GRASS,0
33,6,51,1,6,G,WALKABLE_SHORT_GRASS,0
34,6,51,2,6,G,WALKABLE_SHORT_GRASS,0
35,6,51,3,6,G,WALKABLE_SHORT_GRASS,0
36,6,51,4,6,G,WALKABLE_SHORT_GRASS,0
37,6,51,5,6,G,WALKABLE_SHORT_GRASS,0
38,6,51,6,6,G,WALKABLE_SHORT_GRASS,0
39,6,51,7,6,G,WALKABLE_SHORT_GRASS,0
40,6,51,8,6,G,WALKABLE_SHORT_GRASS,0
41,6,51,9,6,F,WALKABLE_FLOWER_ENCOUNTER,3
42,6,51,10,6,F,WALKABLE_FLOWER_ENCOUNTER,3
43,6,51,11,6,F,WALKABLE_FLOWER_ENCOUNTER,3
44,6,51,12,6,F,WALKABLE_FLOWER_ENCOUNTER,3
45,6,51,13,6,F,WALKABLE_FLOWER_ENCOUNTER,3
46,6,51,14,6,F,WALKABLE_FLOWER_ENCOUNTER,3
47,6,51,15,6,F,WALKABLE_FLOWER_ENCOUNTER,3
48,6,51,16,6,F,WALKABLE_FLOWER_ENCOUNTER,3
49,6,51,17,6,W,SURF_WATER,2
50,6,51,18,6,W,SURF_WATER,2
51,6,51,19,6,W,SURF_WATER,2
52,6,51,20,6,W,SURF_WATER,2
53,6,51,21,6,W,SURF_WATER,2
54,6,51,22,6,W,SURF_WATER,2
55,6,51,23,6,F,WALKABLE_FLOWER_ENCOUNTER,3
56,6,51,24,6,F,WALKABLE_FLOWER_ENCOUNTER,3
57,6,51,25,6,F,WALKABLE_FLOWER_ENCOUNTER,3
58,6,51,26,6,F,WALKABLE_FLOWER_ENCOUNTER,3
59,6,51,27,6,G,WALKABLE_SHORT_GRASS,0
